CreatedDate,Unnamed: 0,MeterSerialNo,ConsumerID,KVAH,KWH,RPhaseVoltage,YPhaseVoltage,BPhaseVoltage,RPhaseCurrent,YPhaseCurrent,BPhaseCurrent,ActivePower,ReactivePower,ApparentPower,TotalPowerFactor,Frequency,MaximumDemandKW,MaximumDemandKVA
2024-01-04 00:23:00,26948.0,504.0,595.0,4692.627,4582.233,228.3880661,246.2884457,218.0578177,0.8,3.101193181818182,0.5530733944954128,0.4,0.06,0.4,0.973711947,50.17935127,2.58,2.58
2024-01-04 00:43:00,26946.0,504.0,595.0,4692.694,4582.299,234.3677236,234.721491,230.0243242,0.8,3.101193181818182,0.5530733944954128,0.4,0.06,0.4,0.982793695,49.8664657,2.58,2.58
2024-01-04 00:49:00,26945.0,504.0,595.0,4692.716,4582.32,225.0792243,219.0028463,247.8988243,0.8,3.101193181818182,0.5530733944954128,0.4,0.06,0.4,0.890925477,50.02068227,2.58,2.58
2024-01-04 00:55:00,26944.0,504.0,595.0,4692.737,4582.341,243.3994587,226.3760908,243.2029252,0.8,3.101193181818182,0.5530733944954128,0.4,0.06,0.4,0.871313404,49.66348537,2.58,2.58
2024-01-04 01:02:00,26943.0,504.0,595.0,4692.758,4582.362,242.0031146,242.4019247,234.8201662,0.8,3.324077669902913,0.5992250922509226,0.4,0.06,0.4,0.954056054,50.13028277,2.58,2.58
2024-01-04 01:17:00,26941.0,504.0,595.0,4692.812,4582.415,230.2950562,240.0949387,223.438499,0.8,3.324077669902913,0.5992250922509226,0.4,0.06,0.4,0.857298795,50.07617293,2.58,2.58
2024-01-04 01:30:00,26939.0,504.0,595.0,4692.855,4582.457,211.6156735,216.9285329,229.951851,0.8,3.324077669902913,0.5992250922509226,0.4,0.06,0.4,0.818236959,50.04829754,2.58,2.58
2024-01-04 01:36:00,26938.0,504.0,595.0,4692.876,4582.478,242.0811046,234.7649663,229.763018,0.8,3.324077669902913,0.5992250922509226,0.4,0.06,0.4,0.984773727,49.90684793,2.58,2.58
2024-01-04 01:42:00,26937.0,504.0,595.0,4692.898,4582.5,230.6042799,213.920125,234.800333,0.8,3.324077669902913,0.5992250922509226,0.4,0.06,0.4,0.803843393,49.87997222,2.58,2.58
2024-01-04 01:48:00,26936.0,504.0,595.0,4692.919,4582.521,237.3632513,232.04492,212.0376177,0.8,3.324077669902913,0.5992250922509226,0.4,0.06,0.4,0.840806167,49.86579532,2.58,2.58
2024-01-04 11:29:00,26932.0,504.0,595.0,4705.589,4595.164,231.3898783,215.5223883,229.8187414,8.86,9.58,17.96,15.7,480.591930477964,15.7,0.83938498,49.71225698,2.58,2.58
2024-01-04 11:40:00,26931.0,504.0,595.0,4706.518,4596.092,243.123138,248.8250142,230.0963445,1.55,2.47,10.68,6.58,0.16,6.58,0.99994797,50.16392739,2.58,2.58
2024-01-04 11:46:00,26930.0,504.0,595.0,4707.065,4596.637,245.8504244,226.1984372,229.5572676,9.72,10.67,17.39,17.4,0.1,17.42,0.888816043,50.15388544,2.58,2.58
2024-01-04 11:53:00,26929.0,504.0,595.0,4707.677,4597.25,234.9256695,240.0234297,240.4040716,10.0,10.62,13.75,15.88,0.12,15.88,0.946093683,50.13315269,2.58,2.58
